Run,TechRepMixture,Channel,Condition,Mixture,BioReplicate
Mixture1_1,1,126,Norm,Mixture1,Mixture1_Norm
Mixture1_1,1,127N,0.667,Mixture1,Mixture1_0.667
Mixture1_1,1,127C,0.125,Mixture1,Mixture1_0.125
Mixture1_1,1,128N,0.5,Mixture1,Mixture1_0.5
Mixture1_1,1,128C,1,Mixture1,Mixture1_1
Mixture1_1,1,129N,0.125,Mixture1,Mixture1_0.125
Mixture1_1,1,129C,0.5,Mixture1,Mixture1_0.5
Mixture1_1,1,130N,1,Mixture1,Mixture1_1
Mixture1_1,1,130C,0.667,Mixture1,Mixture1_0.667
Mixture1_1,1,131,Norm,Mixture1,Mixture1_Norm
Mixture1_2,2,126,Norm,Mixture1,Mixture1_Norm
Mixture1_2,2,127N,0.667,Mixture1,Mixture1_0.667
Mixture1_2,2,127C,0.125,Mixture1,Mixture1_0.125
Mixture1_2,2,128N,0.5,Mixture1,Mixture1_0.5
Mixture1_2,2,128C,1,Mixture1,Mixture1_1
Mixture1_2,2,129N,0.125,Mixture1,Mixture1_0.125
Mixture1_2,2,129C,0.5,Mixture1,Mixture1_0.5
Mixture1_2,2,130N,1,Mixture1,Mixture1_1
Mixture1_2,2,130C,0.667,Mixture1,Mixture1_0.667
Mixture1_2,2,131,Norm,Mixture1,Mixture1_Norm
Mixture2_1,1,126,Norm,Mixture2,Mixture2_Norm
Mixture2_1,1,127N,0.5,Mixture2,Mixture2_0.5
Mixture2_1,1,127C,1,Mixture2,Mixture2_1
Mixture2_1,1,128N,0.667,Mixture2,Mixture2_0.667
Mixture2_1,1,128C,0.125,Mixture2,Mixture2_0.125
Mixture2_1,1,129N,1,Mixture2,Mixture2_1
Mixture2_1,1,129C,0.667,Mixture2,Mixture2_0.667
Mixture2_1,1,130N,0.125,Mixture2,Mixture2_0.125
Mixture2_1,1,130C,0.5,Mixture2,Mixture2_0.5
Mixture2_1,1,131,Norm,Mixture2,Mixture2_Norm
Mixture2_2,2,126,Norm,Mixture2,Mixture2_Norm
Mixture2_2,2,127N,0.5,Mixture2,Mixture2_0.5
Mixture2_2,2,127C,1,Mixture2,Mixture2_1
Mixture2_2,2,128N,0.667,Mixture2,Mixture2_0.667
Mixture2_2,2,128C,0.125,Mixture2,Mixture2_0.125
Mixture2_2,2,129N,1,Mixture2,Mixture2_1
Mixture2_2,2,129C,0.667,Mixture2,Mixture2_0.667
Mixture2_2,2,130N,0.125,Mixture2,Mixture2_0.125
Mixture2_2,2,130C,0.5,Mixture2,Mixture2_0.5
Mixture2_2,2,131,Norm,Mixture2,Mixture2_Norm
